COG0477	GEPR	Carbohydrate_transport_and_metabolism/Amino_acid_transport_and_metabolism/Inorganic_ion_transport_and_metabolism/General_function_prediction_only	MFS family permease
COG0431	C	Energy_production_and_conversion	NAD(P)H-dependent FMN reductase
COG0435	C	Energy_production_and_conversion	Glutathionyl-hydroquinone reductase
COG0437	C	Energy_production_and_conversion	Fe-S-cluster-containing dehydrogenase component
COG0479	C	Energy_production_and_conversion	"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit"
COG0508	C	Energy_production_and_conversion	"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component"
COG0538	C	Energy_production_and_conversion	Isocitrate dehydrogenase
COG0546	C	Energy_production_and_conversion	"Phosphoglycolate phosphatase, HAD superfamily"
COG0554	C	Energy_production_and_conversion	Glycerol kinase
COG0567	C	Energy_production_and_conversion	"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes"
COG0578	C	Energy_production_and_conversion	Glycerol-3-phosphate dehydrogenase
COG0633	C	Energy_production_and_conversion	Ferredoxin
COG0636	C	Energy_production_and_conversion	"FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K"
COG0644	C	Energy_production_and_conversion	Dehydrogenase (flavoprotein)
COG0649	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)
COG0650	C	Energy_production_and_conversion	Formate hydrogenlyase subunit 4
COG0655	C	Energy_production_and_conversion	Multimeric flavodoxin WrbA
COG0674	C	Energy_production_and_conversion	"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit"
COG0680	C	Energy_production_and_conversion	"Ni,Fe-hydrogenase maturation factor"
COG0711	C	Energy_production_and_conversion	"FoF1-type ATP synthase, membrane subunit b or b'"
COG0712	C	Energy_production_and_conversion	"FoF1-type ATP synthase, delta subunit"
COG0713	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
COG0716	C	Energy_production_and_conversion	Flavodoxin
COG0723	C	Energy_production_and_conversion	Rieske Fe-S protein
COG0778	C	Energy_production_and_conversion	Nitroreductase
COG0838	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase subunit 3 (chain A)
COG0839	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase subunit 6 (chain J)
COG0843	C	Energy_production_and_conversion	"Heme/copper-type cytochrome/quinol oxidase, subunit 1"
COG0852	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)
COG1005	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase subunit 1 (chain H)
COG1007	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase subunit 2 (chain N)
COG1008	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase subunit 4 (chain M)
COG1012	C	Energy_production_and_conversion	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
COG1013	C	Energy_production_and_conversion	"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit"
COG1014	C	Energy_production_and_conversion	"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit"
COG1017	C	Energy_production_and_conversion	Hemoglobin-like flavoprotein
COG1018	C	Energy_production_and_conversion	Ferredoxin-NADP reductase
COG1029	C	Energy_production_and_conversion	Formylmethanofuran dehydrogenase subunit B
COG1034	C	Energy_production_and_conversion	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)
COG1035	C	Energy_production_and_conversion	"Coenzyme F420-reducing hydrogenase, beta subunit"
COG1036	C	Energy_production_and_conversion	Archaeal flavoprotein
COG1038	C	Energy_production_and_conversion	Pyruvate carboxylase
COG1042	C	Energy_production_and_conversion	Acyl-CoA synthetase (NDP forming)
COG1048	C	Energy_production_and_conversion	Aconitase A
COG1049	C	Energy_production_and_conversion	Aconitase B
COG1053	C	Energy_production_and_conversion	"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"
COG1071	C	Energy_production_and_conversion	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha
COG1139	C	Energy_production_and_conversion	"L-lactate utilization protein LutB, contains a ferredoxin-type domain"
COG1141	C	Energy_production_and_conversion	Ferredoxin
COG1142	C	Energy_production_and_conversion	Fe-S-cluster-containing hydrogenase component 2
COG1143	C	Energy_production_and_conversion	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)
COG1144	C	Energy_production_and_conversion	"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit"
COG1145	C	Energy_production_and_conversion	Ferredoxin
COG1148	C	Energy_production_and_conversion	"Heterodisulfide reductase, subunit A (polyferredoxin)"
COG1150	C	Energy_production_and_conversion	"Heterodisulfide reductase, subunit C"
COG1152	C	Energy_production_and_conversion	CO dehydrogenase/acetyl-CoA synthase alpha subunit
COG1153	C	Energy_production_and_conversion	Formylmethanofuran dehydrogenase subunit D
COG1155	C	Energy_production_and_conversion	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1
COG1156	C	Energy_production_and_conversion	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2
COG1182	C	Energy_production_and_conversion	FMN-dependent NADH-azoreductase
COG1229	C	Energy_production_and_conversion	Formylmethanofuran dehydrogenase subunit A
COG1249	C	Energy_production_and_conversion	"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme"
COG1251	C	Energy_production_and_conversion	"NAD(P)H-nitrite reductase, large subunit"
COG1252	C	Energy_production_and_conversion	"NADH dehydrogenase, FAD-containing subunit"
COG1254	C	Energy_production_and_conversion	Acylphosphatase
COG1269	C	Energy_production_and_conversion	Archaeal/vacuolar-type H+-ATPase subunit I/STV1
COG1271	C	Energy_production_and_conversion	"Cytochrome bd-type quinol oxidase, subunit 1"
COG1274	C	Energy_production_and_conversion	"Phosphoenolpyruvate carboxykinase, GTP-dependent"
COG1282	C	Energy_production_and_conversion	NAD/NADP transhydrogenase beta subunit
COG1290	C	Energy_production_and_conversion	Cytochrome b subunit of the bc complex
COG1294	C	Energy_production_and_conversion	"Cytochrome bd-type quinol oxidase, subunit 2"
COG1301	C	Energy_production_and_conversion	Na+/H+-dicarboxylate symporter
COG1319	C	Energy_production_and_conversion	"CO or xanthine dehydrogenase, FAD-binding subunit"
COG1347	C	Energy_production_and_conversion	"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD"
COG1359	C	Energy_production_and_conversion	Quinol monooxygenase YgiN
COG1390	C	Energy_production_and_conversion	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4
COG1394	C	Energy_production_and_conversion	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8
COG1436	C	Energy_production_and_conversion	Archaeal/vacuolar-type H+-ATPase subunit F/Vma7
COG1454	C	Energy_production_and_conversion	"Alcohol dehydrogenase, class IV"
COG1456	C	Energy_production_and_conversion	CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)
COG1526	C	Energy_production_and_conversion	Formate dehydrogenase assembly factor FdhD
COG1527	C	Energy_production_and_conversion	Archaeal/vacuolar-type H+-ATPase subunit C/Vma6
COG1529	C	Energy_production_and_conversion	"CO or xanthine dehydrogenase, Mo-binding subunit"
COG1556	C	Energy_production_and_conversion	"L-lactate utilization protein LutC, contains LUD domain"
COG1584	C	Energy_production_and_conversion	Succinate-acetate transporter protein
COG1592	C	Energy_production_and_conversion	Rubrerythrin
COG1614	C	Energy_production_and_conversion	CO dehydrogenase/acetyl-CoA synthase beta subunit
COG1620	C	Energy_production_and_conversion	L-lactate permease
COG1622	C	Energy_production_and_conversion	"Heme/copper-type cytochrome/quinol oxidase, subunit 2"
COG1625	C	Energy_production_and_conversion	"Fe-S oxidoreductase, related to NifB/MoaA family"
COG1679	C	Energy_production_and_conversion	Predicted aconitase
COG1726	C	Energy_production_and_conversion	"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA"
COG1740	C	Energy_production_and_conversion	"Ni,Fe-hydrogenase I small subunit"
COG1757	C	Energy_production_and_conversion	Na+/H+ antiporter NhaC
COG1773	C	Energy_production_and_conversion	Rubredoxin
COG1795	C	Energy_production_and_conversion	Formaldehyde-activating enzyme nesessary for methanogenesis
COG1805	C	Energy_production_and_conversion	"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB"
COG1838	C	Energy_production_and_conversion	"Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain"
COG1845	C	Energy_production_and_conversion	"Heme/copper-type cytochrome/quinol oxidase, subunit 3"
COG1853	C	Energy_production_and_conversion	"NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family"
COG1866	C	Energy_production_and_conversion	"Phosphoenolpyruvate carboxykinase, ATP-dependent"
COG1880	C	Energy_production_and_conversion	CO dehydrogenase/acetyl-CoA synthase epsilon subunit
COG1882	C	Energy_production_and_conversion	Pyruvate-formate lyase
COG1883	C	Energy_production_and_conversion	"Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit"
COG1894	C	Energy_production_and_conversion	"NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)"
COG1902	C	Energy_production_and_conversion	"2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family"
COG1905	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)
COG1908	C	Energy_production_and_conversion	"Coenzyme F420-reducing hydrogenase, delta subunit"
COG1927	C	Energy_production_and_conversion	F420-dependent methylenetetrahydromethanopterin dehydrogenase
COG1941	C	Energy_production_and_conversion	"Coenzyme F420-reducing hydrogenase, gamma subunit"
COG1951	C	Energy_production_and_conversion	"Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain"
COG1969	C	Energy_production_and_conversion	"Ni,Fe-hydrogenase I cytochrome b subunit"
COG1979	C	Energy_production_and_conversion	"Alcohol dehydrogenase YqhD, Fe-dependent ADH family"
COG2009	C	Energy_production_and_conversion	"Succinate dehydrogenase/fumarate reductase, cytochrome b subunit"
COG2010	C	Energy_production_and_conversion	"Cytochrome c, mono- and diheme variants"
COG2025	C	Energy_production_and_conversion	"Electron transfer flavoprotein, alpha subunit"
COG2033	C	Energy_production_and_conversion	"Desulfoferrodoxin, superoxide reductase-like (SORL) domain"
COG2037	C	Energy_production_and_conversion	Formylmethanofuran:tetrahydromethanopterin formyltransferase
COG2041	C	Energy_production_and_conversion	"Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit"
COG2048	C	Energy_production_and_conversion	"Heterodisulfide reductase, subunit B"
COG2055	C	Energy_production_and_conversion	"Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family"
COG2069	C	Energy_production_and_conversion	CO dehydrogenase/acetyl-CoA synthase delta subunit (corrinoid Fe-S protein)
COG2080	C	Energy_production_and_conversion	"Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family"
COG2086	C	Energy_production_and_conversion	"Electron transfer flavoprotein, alpha and beta subunits"
COG2142	C	Energy_production_and_conversion	"Succinate dehydrogenase, hydrophobic anchor subunit"
COG2191	C	Energy_production_and_conversion	Formylmethanofuran dehydrogenase subunit E
COG2209	C	Energy_production_and_conversion	"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE"
COG2210	C	Energy_production_and_conversion	Peroxiredoxin family protein
COG2218	C	Energy_production_and_conversion	Formylmethanofuran dehydrogenase subunit C
COG2224	C	Energy_production_and_conversion	Isocitrate lyase
COG2225	C	Energy_production_and_conversion	Malate synthase
COG2326	C	Energy_production_and_conversion	"Polyphosphate kinase 2, PPK2 family"
COG2352	C	Energy_production_and_conversion	Phosphoenolpyruvate carboxylase
COG2414	C	Energy_production_and_conversion	Aldehyde:ferredoxin oxidoreductase
COG2421	C	Energy_production_and_conversion	Acetamidase/formamidase
COG2440	C	Energy_production_and_conversion	Ferredoxin-like protein FixX
COG2609	C	Energy_production_and_conversion	"Pyruvate dehydrogenase complex, dehydrogenase (E1) component"
COG2717	C	Energy_production_and_conversion	"Periplasmic DMSO/TMAO reductase YedYZ, heme-binding membrane subunit"
COG2811	C	Energy_production_and_conversion	Archaeal/vacuolar-type H+-ATPase subunit H
COG2828	C	Energy_production_and_conversion	2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)
COG2838	C	Energy_production_and_conversion	Monomeric isocitrate dehydrogenase
COG2851	C	Energy_production_and_conversion	Mg2+/citrate symporter
COG2857	C	Energy_production_and_conversion	Cytochrome c1
COG2863	C	Energy_production_and_conversion	Cytochrome c553
COG2864	C	Energy_production_and_conversion	Cytochrome b subunit of formate dehydrogenase
COG2869	C	Energy_production_and_conversion	"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC"
COG2871	C	Energy_production_and_conversion	"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF"
COG2878	C	Energy_production_and_conversion	"Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit"
COG2993	C	Energy_production_and_conversion	"Cbb3-type cytochrome oxidase, cytochrome c subunit"
COG3005	C	Energy_production_and_conversion	Tetraheme cytochrome c subunit of nitrate or TMAO reductase
COG3029	C	Energy_production_and_conversion	Fumarate reductase subunit C
COG3038	C	Energy_production_and_conversion	Cytochrome b561
COG3051	C	Energy_production_and_conversion	"Citrate lyase, alpha subunit"
COG3052	C	Energy_production_and_conversion	"Citrate lyase, gamma subunit"
COG3053	C	Energy_production_and_conversion	Citrate lyase synthetase
COG3069	C	Energy_production_and_conversion	C4-dicarboxylate transporter
COG3080	C	Energy_production_and_conversion	Fumarate reductase subunit D
COG3125	C	Energy_production_and_conversion	"Heme/copper-type cytochrome/quinol oxidase, subunit 4"
COG3181	C	Energy_production_and_conversion	"Tripartite-type tricarboxylate transporter, receptor component TctC"
COG3202	C	Energy_production_and_conversion	ATP/ADP translocase
COG3241	C	Energy_production_and_conversion	Azurin
COG3245	C	Energy_production_and_conversion	Cytochrome c5
COG3258	C	Energy_production_and_conversion	Cytochrome c
COG3259	C	Energy_production_and_conversion	"Coenzyme F420-reducing hydrogenase, alpha subunit"
COG3260	C	Energy_production_and_conversion	"Ni,Fe-hydrogenase III small subunit"
COG3261	C	Energy_production_and_conversion	"Ni,Fe-hydrogenase III large subunit"
COG3262	C	Energy_production_and_conversion	"Ni,Fe-hydrogenase III component G"
COG3278	C	Energy_production_and_conversion	"Cbb3-type cytochrome oxidase, subunit 1"
